tau,QOCO,QOCO-GPU,CuClarabel,Mosek
1.5334255106867896,0.125,0.85,0.75,0.2
1.5359783950053019,0.125,0.85,0.75,0.2
1.5385355294281056,0.125,0.85,0.75,0.2
1.5410969210308785,0.125,0.85,0.75,0.2
1.543662576901078,0.125,0.85,0.75,0.2
1.546232504137961,0.125,0.85,0.75,0.2
1.548806709852603,0.125,0.85,0.75,0.2
1.5513852011679186,0.125,0.85,0.75,0.2
1.5539679852186807,0.125,0.85,0.75,0.2
1.5565550691515402,0.125,0.85,0.75,0.2
1.5591464601250464,0.125,0.85,0.75,0.2
1.5617421653096657,0.125,0.85,0.75,0.2
1.5643421918878022,0.125,0.85,0.75,0.2
1.566946547053818,0.125,0.85,0.75,0.2
1.5695552380140518,0.125,0.85,0.75,0.2
1.5721682719868402,0.125,0.85,0.75,0.2
1.5747856562025364,0.125,0.85,0.75,0.2
1.5774073979035317,0.125,0.85,0.75,0.2
1.5800335043442741,0.125,0.85,0.75,0.2
1.582663982791289,0.125,0.85,0.75,0.2
1.5852988405231996,0.125,0.85,0.75,0.2
1.5879380848307465,0.125,0.85,0.75,0.2
1.5905817230168082,0.125,0.85,0.75,0.2
1.5932297623964211,0.125,0.85,0.75,0.2
1.5958822102968002,0.125,0.85,0.75,0.2
1.5985390740573586,0.125,0.85,0.75,0.2
1.6012003610297283,0.125,0.85,0.75,0.2
1.6038660785777807,0.125,0.85,0.75,0.2
1.6065362340776466,0.125,0.85,0.75,0.2
1.6092108349177368,0.125,0.85,0.75,0.2
1.6118898884987625,0.125,0.85,0.75,0.2
1.6145734022337557,0.125,0.85,0.75,0.2
1.6172613835480898,0.125,0.85,0.75,0.2
1.6199538398795006,0.125,0.85,0.75,0.2
1.6226507786781057,0.125,0.85,0.75,0.2
1.6253522074064264,0.125,0.85,0.75,0.2
1.6280581335394073,0.125,0.85,0.75,0.2
1.630768564564438,0.125,0.85,0.75,0.2
1.6334835079813732,0.125,0.85,0.75,0.2
1.6362029713025528,0.125,0.85,0.75,0.2
1.6389269620528246,0.125,0.85,0.75,0.2
1.6416554877695628,0.125,0.85,0.75,0.2
1.6443885560026912,0.125,0.85,0.75,0.2
1.6471261743147017,0.125,0.875,0.75,0.2
1.6498683502806772,0.125,0.875,0.75,0.2
1.6526150914883118,0.125,0.875,0.75,0.2
1.655366405537931,0.125,0.875,0.75,0.2
1.6581223000425143,0.125,0.875,0.75,0.2
1.6608827826277155,0.125,0.875,0.75,0.2
1.6636478609318832,0.125,0.875,0.75,0.2
1.6664175426060828,0.125,0.875,0.75,0.2
1.6691918353141175,0.125,0.875,0.75,0.2
1.6719707467325493,0.125,0.875,0.75,0.2
1.6747542845507202,0.125,0.875,0.75,0.2
1.677542456470774,0.125,0.875,0.75,0.2
1.6803352702076764,0.125,0.875,0.75,0.2
1.683132733489238,0.125,0.875,0.75,0.2
1.6859348540561345,0.125,0.875,0.75,0.2
1.6887416396619286,0.125,0.875,0.75,0.2
1.6915530980730913,0.125,0.875,0.75,0.2
1.694369237069023,0.125,0.875,0.75,0.2
1.697190064442076,0.125,0.875,0.75,0.2
1.7000155879975754,0.125,0.875,0.75,0.2
1.7028458155538402,0.125,0.875,0.75,0.2
1.7056807549422064,0.125,0.875,0.75,0.2
1.7085204140070473,0.125,0.875,0.75,0.2
1.711364800605796,0.125,0.875,0.75,0.2
1.7142139226089663,0.125,0.875,0.75,0.2
1.7170677879001754,0.125,0.875,0.75,0.2
1.7199264043761657,0.125,0.875,0.75,0.2
1.7227897799468255,0.125,0.875,0.75,0.2
1.7256579225352122,0.125,0.875,0.75,0.2
1.7285308400775736,0.125,0.875,0.75,0.2
1.73140854052337,0.125,0.875,0.75,0.2
1.734291031835296,0.125,0.875,0.75,0.2
1.7371783219893027,0.125,0.875,0.75,0.2
1.7400704189746201,0.125,0.875,0.75,0.2
1.7429673307937783,0.125,0.875,0.75,0.2
1.7458690654626308,0.125,0.875,0.75,0.2
1.7487756310103755,0.125,0.875,0.75,0.2
1.751687035479578,0.125,0.875,0.75,0.2
1.7546032869261932,0.125,0.875,0.75,0.2
1.7575243934195877,0.125,0.875,0.75,0.2
1.760450363042562,0.125,0.875,0.75,0.2
1.7633812038913736,0.125,0.875,0.75,0.2
1.7663169240757584,0.125,0.875,0.75,0.2
1.7692575317189534,0.125,0.875,0.75,0.2
1.7722030349577198,0.125,0.875,0.75,0.2
1.7751534419423651,0.125,0.875,0.75,0.2
1.7781087608367652,0.125,0.875,0.75,0.2
1.7810689998183875,0.125,0.875,0.75,0.2
1.7840341670783144,0.125,0.875,0.775,0.2
1.7870042708212632,0.125,0.875,0.775,0.2
1.7899793192656124,0.125,0.875,0.775,0.2
1.7929593206434216,0.125,0.875,0.775,0.2
1.7959442832004555,0.125,0.875,0.775,0.2
1.7989342151962073,0.125,0.875,0.775,0.2
1.8019291249039195,0.125,0.875,0.775,0.2
1.8049290206106092,0.125,0.875,0.775,0.2
1.8079339106170893,0.125,0.875,0.775,0.2
1.8109438032379928,0.125,0.875,0.775,0.2
1.8139587068017937,0.125,0.875,0.775,0.2
1.8169786296508332,0.125,0.875,0.775,0.2
1.82000358014134,0.125,0.875,0.775,0.2
1.8230335666434545,0.125,0.875,0.775,0.2
1.826068597541252,0.15,0.875,0.775,0.2
1.8291086812327664,0.15,0.875,0.775,0.2
1.8321538261300117,0.15,0.875,0.775,0.2
1.8352040406590076,0.15,0.875,0.775,0.2
1.8382593332598005,0.15,0.875,0.775,0.2
1.8413197123864893,0.15,0.875,0.775,0.2
1.8443851865072463,0.15,0.875,0.775,0.2
1.8474557641043425,0.15,0.875,0.775,0.2
1.8505314536741702,0.15,0.875,0.775,0.2
1.8536122637272667,0.15,0.875,0.775,0.2
1.8566982027883376,0.15,0.875,0.8,0.2
1.8597892793962816,0.15,0.875,0.8,0.2
1.8628855021042119,0.15,0.875,0.8,0.2
1.8659868794794818,0.15,0.875,0.8,0.2
1.8690934201037075,0.15,0.875,0.8,0.2
1.8722051325727926,0.15,0.875,0.8,0.2
1.8753220254969507,0.15,0.875,0.8,0.2
1.8784441075007305,0.15,0.875,0.8,0.2
1.8815713872230382,0.15,0.875,0.8,0.2
1.8847038733171635,0.15,0.875,0.8,0.2
1.887841574450801,0.15,0.875,0.8,0.2
1.8909844993060765,0.15,0.875,0.8,0.2
1.8941326565795693,0.15,0.875,0.8,0.2
1.8972860549823374,0.15,0.875,0.8,0.2
1.9004447032399416,0.15,0.875,0.8,0.2
1.903608610092468,0.15,0.875,0.8,0.2
1.9067777842945548,0.15,0.875,0.8,0.2
1.9099522346154136,0.15,0.875,0.8,0.2
1.913131969838857,0.15,0.875,0.8,0.2
1.9163169987633193,0.15,0.875,0.8,0.2
1.9195073302018844,0.15,0.875,0.8,0.2
1.9227029729823064,0.15,0.875,0.8,0.2
1.9259039359470385,0.15,0.875,0.8,0.2
1.9291102279532528,0.15,0.875,0.8,0.2
1.9323218578728685,0.15,0.875,0.8,0.2
1.935538834592574,0.15,0.875,0.8,0.2
1.9387611670138534,0.15,0.875,0.8,0.2
1.9419888640530094,0.15,0.875,0.8,0.2
1.9452219346411894,0.15,0.875,0.8,0.2
1.948460387724409,0.15,0.875,0.8,0.2
1.9517042322635785,0.15,0.875,0.8,0.2
1.9549534772345245,0.15,0.875,0.8,0.2
1.958208131628019,0.15,0.875,0.8,0.2
1.9614682044498004,0.15,0.875,0.8,0.2
1.964733704720601,0.15,0.875,0.8,0.2
1.9680046414761707,0.15,0.875,0.8,0.2
1.9712810237673026,0.15,0.875,0.8,0.2
1.974562860659857,0.15,0.875,0.8,0.2
1.9778501612347887,0.15,0.875,0.8,0.2
1.981142934588169,0.15,0.875,0.8,0.2
1.984441189831214,0.15,0.875,0.8,0.2
1.9877449360903072,0.15,0.875,0.8,0.2
1.9910541825070274,0.15,0.875,0.8,0.2
1.9943689382381706,0.15,0.875,0.8,0.2
1.997689212455779,0.15,0.875,0.8,0.2
2.0010150143471632,0.15,0.875,0.8,0.2
2.0043463531149306,0.15,0.875,0.825,0.2
2.0076832379770084,0.15,0.875,0.825,0.2
2.0110256781666696,0.15,0.875,0.825,0.2
2.0143736829325602,0.15,0.875,0.825,0.2
2.017727261538722,0.15,0.875,0.825,0.2
2.0210864232646215,0.15,0.875,0.825,0.2
2.0244511774051728,0.15,0.875,0.825,0.2
2.0278215332707648,0.15,0.875,0.825,0.2
2.031197500187286,0.15,0.875,0.825,0.2
2.0345790874961516,0.15,0.875,0.825,0.2
2.0379663045543284,0.15,0.875,0.825,0.2
2.041359160734361,0.15,0.875,0.825,0.2
2.044757665424397,0.15,0.875,0.825,0.2
2.048161828028215,0.15,0.875,0.825,0.2
2.0515716579652468,0.175,0.875,0.825,0.2
2.054987164670609,0.175,0.875,0.825,0.2
2.058408357595123,0.175,0.875,0.825,0.2
2.061835246205347,0.175,0.875,0.825,0.2
2.065267839983597,0.175,0.875,0.825,0.2
2.0687061484279767,0.175,0.875,0.825,0.2
2.072150181052402,0.175,0.875,0.825,0.2
2.0755999473866287,0.175,0.875,0.825,0.2
2.079055456976276,0.175,0.875,0.825,0.2
2.082516719382857,0.175,0.875,0.825,0.2
2.0859837441838014,0.175,0.875,0.825,0.2
2.089456540972485,0.175,0.875,0.825,0.2
2.0929351193582533,0.175,0.875,0.825,0.2
2.096419488966452,0.175,0.875,0.825,0.2
2.099909659438449,0.175,0.875,0.825,0.2
2.1034056404316646,0.175,0.875,0.825,0.2
2.1069074416195965,0.175,0.875,0.825,0.2
2.1104150726918474,0.175,0.875,0.825,0.2
2.1139285433541515,0.175,0.875,0.825,0.2
2.1174478633284015,0.175,0.875,0.825,0.2
2.1209730423526745,0.175,0.875,0.825,0.2
2.1245040901812606,0.175,0.875,0.825,0.2
2.1280410165846892,0.175,0.875,0.825,0.2
2.1315838313497553,0.175,0.875,0.825,0.2
2.1351325442795472,0.175,0.875,0.825,0.2
2.138687165193474,0.175,0.875,0.825,0.2
2.1422477039272927,0.175,0.875,0.825,0.2
2.1458141703331344,0.175,0.875,0.825,0.2
2.1493865742795326,0.175,0.875,0.825,0.2
2.1529649256514496,0.175,0.875,0.825,0.2
2.156549234350306,0.175,0.875,0.825,0.2
2.1601395102940044,0.175,0.875,0.825,0.2
2.1637357634169607,0.175,0.875,0.825,0.2
2.167338003670129,0.175,0.875,0.825,0.2
2.1709462410210305,0.175,0.875,0.825,0.2
2.17456048545378,0.175,0.875,0.825,0.2
2.1781807469691143,0.175,0.875,0.825,0.2
2.18180703558442,0.175,0.875,0.825,0.2
2.1854393613337604,0.175,0.875,0.825,0.2
2.1890777342679044,0.175,0.875,0.825,0.2
2.1927221644543526,0.175,0.875,0.825,0.2
2.1963726619773674,0.175,0.875,0.825,0.2
2.2000292369379992,0.175,0.875,0.825,0.2
2.2036918994541144,0.175,0.875,0.825,0.2
2.207360659660425,0.175,0.875,0.825,0.2
2.211035527708514,0.175,0.875,0.825,0.2
2.214716513766867,0.175,0.875,0.825,0.2
2.218403628020896,0.175,0.875,0.825,0.2
2.2220968806729724,0.175,0.875,0.825,0.225
2.2257962819424506,0.175,0.875,0.825,0.225
2.2295018420656993,0.175,0.875,0.825,0.25
2.23321357129613,0.175,0.875,0.825,0.25
2.236931479904222,0.175,0.875,0.825,0.25
2.2406555781775555,0.175,0.875,0.825,0.25
2.2443858764208358,0.175,0.875,0.825,0.25
2.2481223849559258,0.175,0.875,0.825,0.25
2.2518651141218697,0.175,0.875,0.825,0.25
2.255614074274927,0.175,0.875,0.85,0.25
2.2593692757885977,0.175,0.875,0.85,0.25
2.263130729053651,0.175,0.875,0.85,0.25
2.2668984444781564,0.175,0.875,0.85,0.25
2.2706724324875096,0.175,0.875,0.85,0.25
2.2744527035244633,0.175,0.875,0.85,0.25
2.278239268049156,0.175,0.875,0.85,0.25
2.28203213653914,0.175,0.875,0.85,0.25
2.285831319489411,0.175,0.875,0.85,0.25
2.289636827412437,0.175,0.875,0.85,0.25
2.2934486708381874,0.175,0.875,0.85,0.25
2.297266860314162,0.175,0.875,0.85,0.25
2.3010914064054213,0.175,0.875,0.85,0.25
2.304922319694613,0.175,0.875,0.85,0.25
2.3087596107820043,0.175,0.875,0.85,0.25
2.31260329028551,0.175,0.875,0.85,0.25
2.316453368840722,0.175,0.875,0.85,0.25
2.3203098571009373,0.175,0.875,0.85,0.25
2.3241727657371904,0.175,0.875,0.85,0.25
2.3280421054382794,0.175,0.875,0.85,0.25
2.3319178869107997,0.175,0.875,0.85,0.25
2.335800120879169,0.175,0.875,0.85,0.25
2.3396888180856616,0.175,0.875,0.85,0.25
2.343583989290433,0.175,0.875,0.85,0.25
2.3474856452715547,0.175,0.875,0.85,0.25
2.3513937968250413,0.175,0.875,0.85,0.25
2.3553084547648804,0.175,0.875,0.85,0.25
2.359229629923063,0.175,0.875,0.85,0.25
2.363157333149614,0.175,0.875,0.85,0.25
2.3670915753126214,0.175,0.875,0.85,0.25
2.371032367298266,0.175,0.875,0.85,0.25
2.3749797200108542,0.175,0.875,0.85,0.25
2.378933644372843,0.175,0.875,0.85,0.25
2.382894151324877,0.175,0.875,0.85,0.25
2.3868612518258114,0.175,0.875,0.85,0.25
2.3908349568527494,0.175,0.875,0.85,0.25
2.3948152774010665,0.175,0.875,0.85,0.25
2.398802224484445,0.175,0.875,0.85,0.25
2.4027958091349024,0.175,0.875,0.85,0.25
2.406796042402823,0.175,0.875,0.85,0.25
2.4108029353569878,0.175,0.875,0.85,0.25
2.4148164990846057,0.175,0.875,0.85,0.25
2.418836744691343,0.175,0.875,0.85,0.25
2.4228636833013564,0.175,0.875,0.85,0.25
